LetterID,Date,MaintCrew,FTOV,NearMissCount,PMsCompCount,SPLsCompCount,Safety,Joining,TopXActions,Breakdowns,EquipFailures,Failure_Description,EquipRepairs,FollowUp,Notifications,Training,Recognition,Enviromental,MetalUnits,Metal_Hours,MetalJPH,Framer_Units,Framer_Hours,FramerJPH,Underbody_Units,Underbody_Hours,UBJPH,TopXMain,FourDs,TopXSubs,Attachments,SPLs,FRACAS,FRACAS_Attachment,ManningMaterials,UNDERBODYMAINSEG1,UNDERBODYMAINSEG2,UNDERBODYRESPOTSEG2,LHBODYSIDEINNER,LHBODYSIDEOUTER,LHBODYSIDEMARRIAGE,RHBODYSIDEINNER,RHBODYSIDEOUTER,RHBODYSIDEMARRIAGE,FRAMER,FRAMINGSEG2A,FRAMINGSEG2B,FRAMINGSEG3,FRAMINGRESPOTSEG4,PALLETTOSKID,CLOSURE1,CLOSURE2,U-MODELTOPAINT,UNDERBODYMAINSEG1CNT,UNDERBODYMAINSEG2CNT,UNDERBODYRESPOTSEG2CNT,LHBODYSIDEINNERCNT,LHBODYSIDEOUTERCNT,LHBODYSIDEMARRIAGECNT,RHBODYSIDEINNERCNT,RHBODYSIDEOUTERCNT,RHBODYSIDEMARRIAGECNT,FRAMERCNT,FRAMINGSEG2ACNT,FRAMINGSEG2BCNT,FRAMINGSEG3CNT,FRAMINGRESPOTSEG4CNT,PALLETTOSKIDCNT,CLOSURE1CNT,CLOSURE2CNT,U-MODELTOPAINTCNT,StartCardAudit,STARTAuditCount,Weekend_FAS08_Issued,Weekend_FAS08_Completed,Weekend_FAS08_%,Weekend_Joining,Weekend_Joining_Issued,Weekend_Joining_Completed,Weekend_Joining_%,Weekend_Cost,Weekend_Delivery,Weekend_General_Issued,Weekend_General_Completed,Weekend_General_%,Vendor,Weekend_PM_Issued,Weekend_PM_Complete,Weekend_PM_%,Startup_Issues,DoorRepairs,ProdShift,Dimensional,Future_00,Future_01,Future_02,Future_03,Future_04,Future_05,Future_06,Future_07,Future_08,Future_09,ProdTime
2,08/01/2018,B,0,0,1,,"Harness list completed - Capehart, Hogan, Kavanaugh, Mangis, Moore, Williams, Ater, Duncum, Winlock, Beach, Gackenbach, Hatzman, Mishloney, Strothman, Utley, Dossey, Frank, Cook, Holmes.","*Wiping oil from rear pan LWB parts, Jeff Epps has sent form 26 to supplier.
*Left front Ford doors, put 18 racks in DMR for  assorted dents and dings in the outer skin.
*Left SWB rear doors, put 7 in DMR for assorted dents and dings in the outer skin.","#1
S010R06CN Ix Screw1Flt - Flow screw
Controller 1 Fault FB1[287] 7
U MAIN LINE.UNDERBODY.UNDERBODY RESPOT
SEG 1.UBR1 8Y-010
9191
Machine
Faults
10 0:28:21 10
#2
S180R01FDSFlt 75 Max time
exceeded FB4 316 11
U MAIN LINE.FRAMING RESPOT.FRAMING
RESPOT SEG 3.RSPT3 6Y-180
10123
Machine
Faults
8 0:23:01 15
#3
S040CV1 Conveyor Silhouette Gate
Tripped FB2 20 24
U MAIN LINE.FRAMING.FRAMING
PRECLAMP.FRMPC 6W-040-R3-CNV
664
Machine
Faults
7 0:20:41 1
#4
S060R04CN Ix Screw1Flt Flow screw
Controller 1 Fault FB1 271 7
U MAIN LINE.FRAMING.FRAMING SEG 2A.FRM2A
6X-060
8679
Machine
Faults
7 0:18:47 8
#5
Upper Hinge Part Present Not Made
S065LFX1B2 I 14 110 1PE FB3 40 0
U MAIN LINE.CLOSURES.CLOSURE 1.CL1 4E-
065L-OP
1280
Machine
Faults
6 0:17:08 13","*Underbody-No major issues
*Body sides-No major issues
*Framing-No major issues
*Framing Respot-No major issues
*Closures-Blocked to paint stacker full",Fanuc Teach Pendant,"Update from the product manager:
 
It is apparent a force was applied to the cable that pulled it from the strain relief.  At this point it is impossible to determine the actual cause.
issues like these may be linked to:
-        carrying the TP by the cable
-        pulling on the TP to get slack
-        stepping on the cable when the TP is hung on the controller
The design of the Teach Pendant cable has not changed since the R-30iB controller was released.
As seen from the photo, excessive force will pull the cable from the connector assembly.",,,,,,,210,8.5,0,215,8.3,0,215,8.1,0,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,"T. Schnell
K. Malone",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,01/31/2018,B,0,3,0,,No issues,,,,,,,,,,,,205,8,0,205,8,0,205,8,0,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,01/26/2018,A,0,2,11,1,No issues,,,,,,,"Update from the product manager:
 
It is apparent a force was applied to the cable that pulled it from the strain relief.  At this point it is impossible to determine the actual cause.
issues like these may be linked to:
-        carrying the TP by the cable
-        pulling on the TP to get slack
-        stepping on the cable when the TP is hung on the controller
The design of the Teach Pendant cable has not changed since the R-30iB controller was released.
As seen from the photo, excessive force will pull the cable from the connector assembly.",,,,,215,8.5,0,215,8.5,0,215,8.5,0,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,01/27/2018,B,0,0,0,0,No Issues,"Setter Swaps Completed
6X-140-04
6X-160-03
6X-20-01
8F-130-06
 
GBD Swaps Completed
6X-160-02
6X-160-05
6X-160-06
8A-140-01 Gun #2
8E-240-04
8E-250-01
8E-260-01
8F-100-02
8F-110-02
8G-320-01 (Gun #1)
8G-320-01 (Gun #2)
8X-40-04
8X-70-01
8X-70-02
8X-80-01
8X-85-05
8Y-100-02
8Y-10-03
8Y-10-04
8Y-50-03
8Y-50-04
9C-210-01",,,HL10 standby motor,"HL10 standby motor has had plenty of things found wrong with it. When we first started looking at it we found that the motor alone without the coupling engaged was pulling 30amps. 
The first thing we did was use a bolt to hold the brake open.
We have swapped VFD’s feeding it.
We have changed the encoder.
We have changed the contactor.
We have tightened the lugs inside the pecker head.
We have found loose lugs in the pecker head. 
This is where I left off. Hopefully repairing the bad lugs will put it to bed.
Brian Huff, Greg Berent, and Jim Harvey are still working on it. It is not a show stopper unless the main takes a crap. We looked in the blue tent and the only replacement is the one with the cracked output shaft. I think they have one in stores.","Continued configuring analog modules for sealer level monitoring
Painted high bay guard rail at P25
Installed and painted guard rail at the corner of P21
Worked with Valiant on door line cycle time improvement
Lubed 15 robots.  Framer 2/3 is now complete.  Plan to move on to framer respot next.
Completed oiler PM's and multiple auto lube work orders
 ","RF22 in the mezz chain is jumping.  Sent Utley and Fackler to scope it out at 4pm when paint stopped pulling.
 
The following robots need to be moved back to home position from zero position:
6X-160-2
6X-160-4
6X-160-6
6X-170-2
6X-170-4
6X-170-6
6X-180-2
6X-180-4
6X-180-6
6X-190-1
6X-190-2
6X-190-3
6X-190-4
6X-190-5
6X-190-6
 
 
Production lead came to me about a nut missing on the lift gate (right hand inner).  I checked the logic, talked with area electricians and could not find any thing that would lead to any answers.  The core issue is that the unit made it to metal finish but did not have a QLS concern.",,,Recognized D. Skaggs with 25 years of service.,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,01/27/2018,A,0,0,0,0,No Issues,,,,,,"Completed adding a power drop and lighting for the “Lifting and Rigging “crib.
 
Pipefitter and oiler ran ¼” tubing to box storage lubricator and box storage conveyors.  6 conveyors.
 
Repaired oil leak on box conveyor lubricator at V14.  Also turned it down.
 
SUV skid conveyance ran ¼” tubing from lube tank to lubricators on cross transfer.
 
Millwrights and Electricians worked on the light screen install for the split on the Front Door Sub-Assembly.  All that was expected to be done today was completed.
 
Completed repair to overhead light at CC31.
 
Completed working Health Assessment with Bleichert Conveyor Representative on Right and Left-hand Bodysides.
 
Completed adding light fixture over mirror at CC32.
 
Completed a material list to extend lighting on both sides of Metal Finish Line.  The list is with the returned work order.",The roof leak at J21 was reported repaired.  Today it was leaking bad enough to shut down the operation.  This area is going to need some immediate attention.  I plan to hang plastic and shut off the BAF’s in the area tomorrow.,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,01/28/2018,B,0,5,53,0,No Issues,"No Issues
9B270-01W
Replaced punch and die on clinch tool
 
9B260-01W
Replaced punch and die on clinch tool
 
9B250-01
Replaced punch and die on clinch tool
 
9B250-02
Replaced punch and die on clinch tool
 
9B250-05
Replaced punch and die on clinch tool
 
9B Cowl/Dash
Disconnect installed and functional for Emhart back up system on column N23",,No issues,"","I had the Bleichert Service representative at KTP this weekend to perform a Health Assessment & validate the PM’S on the conveyors since we have been in production mode for 6 months.
 
We started to review the LH Body Side Main Conveyor to Framing Pre-Clamp, and completed the 6 month required PM’s.  
M-Task 23, Sub Task number 2302 – Inspection of Gear Motor – All good.
M-Task 23, Sub Task number 2303 – Check Gear Motor Oil Level – Good
M-Task 23, Sub Task number 2304 – Inspect Track – Track Looked good.  No signs of any debris
M-Task 23, Sub Task number 2305 – Inspection of all switches – All Good
M-Task 23, Sub Task number 2306 – Inspect chain & Sprockets for Wear and Proper Tension – Chain Tension was adjusted and switches adjusted accordingly. Drive end south side sprocket was out of time/alignment.  Obvious sign of crash or pallet shingle. Adjustment made accordingly.
M-Task 23, Sub Task number 2308 – Inspect Pallets – Pallet # 8, 9, 18 & 19 all show signs of damage and have over lapped to another pallet.   These Pallets need to be removed and placed on flat surface to determine if they are warped.  If so they should be replaced at earliest time.  Need to verify if we have replacement pallets in plant. 
M-Task 23, Sub Task number 2309 – Inspect Pallets while running – We did inspect pallets while running, however we had to trigger the stops from the panel view to advance pallets around. We apparently do not have a “Run in Dry Cycle” program created.  This is something we need to create for the future.  Valiant and Kuka with plant & VO Automation/Controls.
 
LH Quarter Inner Conveyor to LH Body Side Main Line, completed the 6 month required PM’s.  
M-Task 23, Sub Task number 2302 – Inspection of Gear Motor – All good.
M-Task 23, Sub Task number 2303 – Check Gear Motor Oil Level – Good
M-Task 23, Sub Task number 2304 – Inspect Track – Track Looked good.  No signs of any debris
M-Task 23, Sub Task number 2305 – Inspection of all switches – All Good
M-Task 23, Sub Task number 2306 – Inspect chain & Sprockets for Wear and Proper Tension – All Good.
M-Task 23, Sub Task number 2308 – Inspect Pallets – All Good. 
M-Task 23, Sub Task number 2309 – Inspect Pallets while running – We were not able to run due Light Screen fault couldn’t be reset at the time. We apparently do not have a “Run in Dry Cycle” program created.  This is something we need to create for the future.  
 
LH Body Side Outer Conveyor to RH Body Side Main Line, completed the 6 month required PM’s.  
M-Task 23, Sub Task number 2302 – Inspection of Gear Motor – All good.
M-Task 23, Sub Task number 2303 – Check Gear Motor Oil Level – Good
M-Task 23, Sub Task number 2304 – Inspect Track – Track Looked good.  No signs of any debris
M-Task 23, Sub Task number 2305 – Inspection of all switches – All Good
M-Task 23, Sub Task number 2306 – Inspect chain & Sprockets for Wear and Proper Tension – All Good.
M-Task 23, Sub Task number 2308 – Inspect Pallets – All Good. 
M-Task 23, Sub Task number 2309 – Inspect Pallets while running – We were not able to run due to Fanuc work being performed in the cell. We apparently do not have a “Run in Dry Cycle” program created.  This is something we need to create for the future.  
NOTE:  The conveyor was still running when we approached to perform our inspection.  The sleep timer does not appear to be functioning correctly. 
 
RH Body Side Main Conveyor to Framing Pre-Clamp, completed the 6 month required PM’s.  
M-Task 23, Sub Task number 2302 – Inspection of Gear Motor – All good.
M-Task 23, Sub Task number 2303 – Check Gear Motor Oil Level – Good
M-Task 23, Sub Task number 2304 – Inspect Track – Track Looked good.  No signs of any debris
M-Task 23, Sub Task number 2305 – Inspection of all switches – All Good
M-Task 23, Sub Task number 2306 – Inspect chain & Sprockets for Wear and Proper Tension – Chain Tension was adjusted on a previous visit in December.
M-Task 23, Sub Task number 2308 – Inspect Pallets – Pallet # 4, 5, 18,  19, 20 & 21 all show signs of damage and have over lapped to another pallet.   These Pallets need to be removed and placed on flat surface to determine if they are warped.  If so they should be replaced at earliest time.  Need to verify if we have replacement pallets in plant. 
M-Task 23, Sub Task number 2309 – Inspect Pallets while running – We did inspect pallets while running, however we had to trigger the stops from the panel view to advance pallets around. We apparently do not have a “Run in Dry Cycle” program created.  This is something we need to create for the future.  Valiant and Kuka with plant & VO Automation/Controls.
 
RH Quarter Inner Conveyor to RH Body Side Main Line, completed the 6 month required PM’s.  
M-Task 23, Sub Task number 2302 – Inspection of Gear Motor – All good.
M-Task 23, Sub Task number 2303 – Check Gear Motor Oil Level – Good
M-Task 23, Sub Task number 2304 – Inspect Track – Track Looked good.  No signs of any debris
M-Task 23, Sub Task number 2305 – Inspection of all switches – All Good
M-Task 23, Sub Task number 2306 – Inspect chain & Sprockets for Wear and Proper Tension – All Good.
M-Task 23, Sub Task number 2308 – Inspect Pallets – Pallet # 6 & 7 show signs of damage and have over lapped to another pallet. The center guide pins are bent and need to be replaced.  Need to verify if we have replacement center guide pins in plant. 
M-Task 23, Sub Task number 2309 – Inspect Pallets while running – We did inspect pallets while running, however we had to trigger the stops from the panel view to advance pallets around. We apparently do not have a “Run in Dry Cycle” program created.  This is something we need to create for the future.  
 
RH Body Side Outer Conveyor to RH Body Side Main Line, completed the 6 month required PM’s.  
M-Task 23, Sub Task number 2302 – Inspection of Gear Motor – All good.
M-Task 23, Sub Task number 2303 – Check Gear Motor Oil Level – Good
M-Task 23, Sub Task number 2304 – Inspect Track – Track Looked good.  No signs of any debris
M-Task 23, Sub Task number 2305 – Inspection of all switches – All Good
M-Task 23, Sub Task number 2306 – Inspect chain & Sprockets for Wear and Proper Tension – All Good.
M-Task 23, Sub Task number 2308 – Inspect Pallets – All Good. 
M-Task 23, Sub Task number 2309 – Inspect Pallets while running – We were not able to run due to Fanuc work being performed in the cell. We apparently do not have a “Run in Dry Cycle” program created.  This is something we need to create for the future.  
 
Rear Floor Pan 8C, completed the 6 month required PM’s.  
M-Task 23, Sub Task number 2302 – Inspection of Gear Motor – All good.
M-Task 23, Sub Task number 2303 – Check Gear Motor Oil Level – Good
M-Task 23, Sub Task number 2304 – Inspect Track – Track Looked good.  No signs of any debris
M-Task 23, Sub Task number 2305 – Inspection of all switches – All Good
M-Task 23, Sub Task number 2306 – Inspect chain & Sprockets for Wear and Proper Tension – All Good.
M-Task 23, Sub Task number 2308 – Inspect Pallets – All Good. 
M-Task 23, Sub Task number 2309 – Inspect Pallets while running – We were not able to run the pallets around due to conveyor had assembled parts on. 
 
Rear Ladder 8F, completed the 6 month required PM’s.  
M-Task 23, Sub Task number 2302 – Inspection of Gear Motor – All good.
M-Task 23, Sub Task number 2303 – Check Gear Motor Oil Level – Good
M-Task 23, Sub Task number 2304 – Inspect Track – Track Looked good.  No signs of any debris
M-Task 23, Sub Task number 2305 – Inspection of all switches – All Good
M-Task 23, Sub Task number 2306 – Inspect chain & Sprockets for Wear and Proper Tension – All Good.
M-Task 23, Sub Task number 2308 – Inspect Pallets – All Good. 
M-Task 23, Sub Task number 2309 – Inspect Pallets while running – We were not able to run conveyor. 
 
NOTE: We did observe some metal debris in the tracks and cleaned out.  This should be added to the visual inspection of M-Task every 6 months.  I will talk to Melissa Brutto on adding this to existing PM.","We worked installing high guard rail around the Union Office at H32.  The work went slow because no stock was removed.  This job should continue tomorrow.
The Pipefitters completed assisting the Hovair Representative reconfiguring the controls for Closure I turntables at station 70 and 120.
Electricians ran power for the crossover Digilube at the beginning of Closure I per K. Malone. 
The AIS Box on RH 120 closure #1 is back on line, we think.   Bad patch cord at the IDF cabinet.    We left it in by-pass at the panel view because it was restarted in the middle of a cycle and was alarming.     Once the line begins move take it out by-pass and see what happens.
7 Robots got remastered over the weekend for pulse coder cable replacements.    7L-30-LR06, 7L-30-RR06, 7K-15-LR01, 7K-15-RR01, 8X-30-1, 8X-30-2, 8X-30-4.   We ran metal thru the body sides affected robots and one long thru Station 30 U/B main to verify sealer path.   If you have issues call Bob Lieblang at (248)-379-9513.   He will answer anytime day or night.
We installed some robot and PLC programming for sealer patch error proofing on 7L-30-RR06.     Error proofing is currently jumped out and the robot programming change is in a new replacement “pick” subroutine.   If there is an issue comment out the “pick” routine ending in WDS and uncomment out the original subroutine.   Each model has its own pick subroutine.   See attached photograph.   The PLC edits are testing.
The Bleichert conveyor health assessment determined  that the sprockets at the load in of the LH Bodysides conveyor was out of time causing the pallets to hang.
Made progress on the REAR door line split.   Moved the recently installed fence line West to make room for 20” pinch point.   Made DCS chances to robots 5C-50-1 and 5C-50-5 to create the 20” pinch point clearance required between the robot and fence for teaching purposes.   Also extended the fence line to the hand off table and made DCS changes to accommodate the fixture and fence for robot 5C-40-4.
We did not move light screens to the front door line because the plan is still undecided and light screens may not be required.
Updated panelview programs for wheel well error proofing in station 30L Body Sides.
The Carpenters completed putting down wood floor in the relocated DMR area.  They also completed to painting work orders.","I will put Mitch’s upcoming TM PM’s in the TM shop PM hangers that are located on the back of the blue locker on the West side of the picnic table against the North Wall. Please assign Toolmakers to work on these. 
D. Aldridge was paid on the dayshift DROT.
The relocated DMR area is ready for Millwrights to put down steel tubing around wood floor.",,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,01/29/2018,A,0,0,0,0,No Issues,"1. Rear header discrepant rivets again due to part variance, measured everything in Closures and picked up as needed. Began
pickup at T23 and continued until rotation. DS.
2. Bodyside hockey stick short causing head too low faults on 6Y100-5 for 2 units. Operators watching material. Picked up at
T23. DS
3. Bypassed 6 units through 6Y180-4 due to feed tube issue, picked up at T23. This was just rehosed 8 days ago. DS
4. Discrepant clinch on 6Y90-2 due to broken die. Had to rebuild one by replacing the feet. Will order more. DS
5. Schedule to replace punch and die on 6X90-1 between shifts. DS.","Main:
#4 Undefined fault - this is some error proofing that is still being tested.  It doesn't drop the line from auto mode.
#7 Tox die has been replaced
#8 Dirty model detect sensor
 
Subs:
#3 DC tool had a seizure.  Cycled power and the the controller came back on but when the trigger was pulled on the tool a ""Tool Disable - Internal PLC"" error showed on it.  The cure was toggling the ""OK to run"" bit in the PLC.  No further issues.","7K-30R-1 gun 2 double riveted three times this morning.  On it's next to last rivet it got a ""tool changer comm fault"" and the electrician used skip remaining to get the robot to maintenance and then cleared the fault from robot teach pendant IF screen.  Each time the robot went in and tried to rivet on top of its last spot.  Cleaned the ATI pins with a brass brush and haven't seen this problem since.  The real issue is why does it loose fast fault recovery?  I talked with Dan Cupp about this and he said it is a known issue with Henrob FFR routines.","Attempted to removed carrier #8 from the LH body side overhead conveyor to inspect it as a result of the Bleichert report.  Weren't able to remove the carrier because we didn't get it to stop in the right location.  Carrier must be in either the load, unload, or inspection stop to be removed.",,We had to turn on the propane heaters at door 110.,"Get the state grant money sheet signatures.
Remove carrier #8 from the LH body side overhead",,,,,220,8.5,,220,8.5,,220,8.5,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,01/29/2018,B,0,4,4,0,No Issues,"Short Trim on the RH DOP on the A-Pillar on LWB and SWB.  Rivets are close to the edge of the short flange on the DOP. See Attachment. 
 
6Y-180-1: Program 9 Step 15 Ramp Time changed 0.05 to 0.1, 250RPM to 200 RPM.  Program 11 Step 11 2.5 sec to 3.0 sec.  
6Y-060-4: Program 23 Step 15 300 RPM to 250 RPM, Program 7 Step 14 changed depth -2.0 to -2.3, Ramp Time changed 0.05sec to 0.1 sec.  Gun # 1Replaced bushing cleaned and PM.  Gun # 2 is in the stand and is sticking needs to be PM. ",,"Pallet 20911 inserted backwards at the pallet insertion table.   Pallet hung up in the perceptron station.  Modified logic and ran the pallet thru, then back into the pallet repair station and out to the turn table.  Pallet stop enable switch damaged.  Adjusted it to run until end of shift and replaced.  Modified existing error proofing to work with with current model pallets.  See 4D.","Crossover at BB-38 drive will be tightened up at 12:00 by MW.  - COMPLETE
TM working on replacing the error proofing on rear doors fish mouth pins. The pins currently have a 6mm thread and we are drilling them out to 8mm for extra support. COMPLETE
 
ATI- Had to touch up the pickup for gun2 on 7X20L-01. It was not making the prox for gun coupled.
 
Adjusted the laser for the new error proofing on lamp can in between shifts and it was working fine until they got a new batch of tape. The new tape was a little lighter  than the old batch.
 
7X10CV1 pre-unload stop was not closing on two occasions tonight. The PLC was telling it to close. We went in to check on the valve and tightened up the connection to all of the Y blocks and didn't have any more issues.
 
The millwrights are lined up to straighten up the gate for the POC in station 7K40L.
 
Front door line hemmer was shutting the door line down with the door hanging onto the hold down. The hold down lifted the door out of the fixture losing part presents. At the same time station 50 was having issues with the doors falling out of the fixture. Suspected hemmer problem was coming from station 50. We touched up the robot program to align better with the locating holes. It was determined the operator was misloading the door ditch rail causing the doors to be off or fall out of the fixture. Issue went away with practice. Root cause is that the operator could position the parts wrong and still get part presents to run. Night shift support said they would talk with their dayshift counterparts to come up with a resolution.",,"Crossover at BB-38 drive will be tightened up at 12:00 by MW. 
TM working on replacing the error proofing on rear doors fish mouth pins. The pins currently have a 6mm thread and we are drilling them out to 8mm for extra support.","6X-060-04 Gun # 2 is located in the stand, needs to have the Toolmakers to PM the gun for sticking.TL
6X-60-04 Gun #2 has been PM'd by TM. Will need to be swapped and verified when production is running. MS",,,,,215,8,,215,8,,215,8,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,01/30/2018,A,0,0,12,0,"No Issues - General Safety Rules sent from Angela Bednark is attached under SPL's. DB
Pedestrian Safety meeting - Hung dome mirror at R25. DD","Short trim on rear headers will be running every 5th unit to exhaust stock. DS
Shipped rear ladder reinforcements to Henrob today for testing to eliminate cracked buttons. DS",8Y10-6 gun 1 failure. TM's lined out to work gun. DS,"Had issues picking gun #1 with 7x-20-1 LH.    Had to touch up the pick-up program to see the gun present switches.  JT
 
Framer pre-clamp had issue with poor sealer dispense from robot 40-10.    The sealer controller showed the proper amount of over all sealer volume but the resulting beads were poor.    Long story short:   Since the robot was making many short stiches of sealer the hoses would swell enough to allow the servo drive to move and calculate volume that was false.   The issue was a partially blocked nozzle.    JT
 
Robots 240-1 and 250-6 cowl dash crashed into each other at the hand off table.     250-6 was clamped up picking from the table and 240-1 tried to load to the adjacent pass off table.    Kuka programmers tried to fix the zone issue but later we began getting into zone lock issues.    Kuka still working on the issue.
 
 
 
 ","7G70L-2 dress package came loose. DS/MS
7X20L-1 Tool changer messing up EL found pinched cable. DS/MS
Temporarily repaired the Leoni package on 7k-20-6 LH.   New package not available in stores.   P/N 8.730.052.2001 JT
Redressed Igus package on 7G-70LL02.    The last link in the package broke on a breakdown this morning.  JT",,"We welded a cap on a new post going up the stairs at DD39.  The top had sharp edges.
8Y10-6 gun 1. DS
6X60-4 gun 2. DS
Investigated the timer for bad cowl top sealer in framer 2 and discovered it was set for 7.2hrs instead of 72 hrs.   This should resolve most of the issue with a damaged cowl top except for on long weekends and shutdowns.   Also tested reject for cowl top and it worked.    The robot went to maintenance with the cowl top and opened the clamps to remove the part.   Shift register still required updating.  JT
 Rehung systems antenna at HH31.  JT","R. Mattingly came in early today.  He was supposed to stay over.  I let him stay so we won't be staying over.
On the roof line we have a part present proximity switch that is damaging the roof surface.  The Toolmakers are lined up to modify the switch between shift.",,,,,215,8.5,,230,9,,230,9,,,,,,,,,"
Tuesday:
30502B: Put 200 hours on KA3396. Close the balance to expense. 
 
35502I: Close to expense.
 
30503B: Close to expense.
 
Wednesday: 
30501B: Put 200 hours on KA3396. Close the balance to expense.
 
NDT project meeting today. Gathering quotes and training hours needed. DS",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
