LetterID,Date,MaintCrew,ProdShift,STARTAuditCount,Attachments,Safety,TopXActions,Joining,Dimensional,Training,Recognition,EquipRepairs,DoorRepairs,FollowUp,Environmental
919,7/1/2019,,,0,;;;;;,No Issues,\n,,,,,\n\n,,,
920,6/30/2019,AB,,0,;;;;;,No Issues,\n,"DS- SHUTDOWN WORK
5B-030-05 DIE 
5B-050-03 GBSD 
5B-050-04 PUNCH DIE 
5C-030-01 PUNCH GBSD SETTER 
5C-030-02 DIE 
6X-020-01 GBSD 
6X-020-03 PUNCH 
6X-020-05 MAG 
6X-020-14 PUNCH SETTER 
6X-020-17 DIE 
6X-020-18 DIE THIS ONE IS MISSING THE ECCENTRIC PIN
8X-040-02 GBSD 
8X-070-06 GBSD 
8X-080-01 GBSD 
8X-100-06 GBSD 
6X-080-03 SETTER PUNCH GBSD 
6X-140-02 DIE 
6X-160-05 DIE 
6X-170-02 GBSD 
6X-170-03 GBSD 
6X-190-05 GBSD 
6Y-090-07 SETTER PUNCH 
6Y-100-05 DIE 
6Y-100-06 PUNCH 
6Y-110-03 GBSD 
6Y-110-06 GBSD 
6Y-150-03 DIE 
7K-020R-06 DIE 
7K-030L-01 GBSD 
7K-030L-08 GBSD 
7K-050L-06 DIE GBSD 
7K-050L-06 DIE   
7K-050R-06 GBSD 
7L-030R-03 GBSD 
7L-040R-01 DIE 
7X-020L-01 GBSD 
7X-020R-02 GBSD 
7X-020R-10 DIE 
7X-030R-04 GBSD
 
Snyder
TMs stayed busy working on rebuilding the pile of setters and GBSDs in the shop.
 
Apprentices began working on dimensional team fit tools.",,,,\n\n,,,
921,7/1/2019,A,,0,;;;;;,No Issues,\n,"DS-
Worked toolchanger PM's in bodysides and will continue on tomorrow. 
 
7G50L-1: Swapped out gun 1 and 2
 
7G70L-1: Swapped gun 1 and pulled gun 2. 
 
Follow up: Need Toolmaker support on nights to rebuild LH spindle Webers. Need 1 to complete LH 7G
 
Apprentices continued on with fitter tools.",,,,"Minor crash on the C50VL01 elevator.   Millwrights told electricians they needed the motor brake disabled to be able to turn the coupling by hand to align it with elevator when swapping drives.  That is only when swapping main drive to standby drive, when swapping standby to main it is not necessary.  Forgot to tell the electricians that.  Electricians edited around the brake circuit in the PLC.  In the meantime millwrights finished swapping the drives, unpinned the elevator and came out.  When the gates were closed and gates reset, the elevator took off up.  And over traveled.  When the electricians tried to lower the elevator, the Bart Simpson on the table got on the wrong side of its trigger and bent the Bart Simpson on the table.  Millwrights heated and straightened the Bart Simpson.  We ran the elevator up in automatic with no issue.           \nAll the underbody respot and underbody main robots have been moved to zero position or close to it for robot lubrication.
Replaced the two damaged driven rollers on roll bed #18 in the pallet farm.  Could not find new replacement rollers.  Revisited the donor table on the southwest corner of the upper level of the pallet farm and swapped rollers between the two tables.   I have ordered some rollers thru stores that may be the correct ones.  Els found blown fuse in panel for drive motor for lift table #32.  Fuse replaced and table working.  Millwrights are working and completed several PMs including aisle crossing shuttle carts and elevator drives swaps, except the AA39 elevator.  
Pipefitters working on PM?s and corrective work orders.
Most electricians working on the paint booth demo for Hester.   
A crew toolmaker apprentices started working on roller guides to help pallets locate on lift tables 2 and 5 in the pallet farm.  
 
 
 \n",,,
922,7/1/2019,B,,0,;;;;;,No Issues,\n,"Nights - A Crew - Snyder
 Jeff Lindzy continued working on the stock pile of setter rebuilds we have accumulated.
 
Jay Wibbels continued on GBSDs and nose rebuilds.
 
Phil Dahl and Todd Dahl completed rebuilding the guns on the bench in the shop. They have all been tested and passed. One of the guns had the connection for the proportional valve snapped off. The cable and its connector were good but the pins and connector in the valve were broken. Tried to find our specific valve in stores with no luck. Found one labeled for 558 but it had a balance of zero. Talked to 558 JE and he said he had a handful in his shop so he gave me one. The one he provided is not exactly the same as the one on our gun. Ours is a little slimmer and has a different part number. The pushlock fitting is also a different style. Working with PF to locate fittings and exhaust port for the new proportional valve. However both valves have the same voltage, current and air pressure ratings so I don?t see it being an issue. I will work on getting our specific valve set up in stores though.
 
Jeff Fessel and Terry Lockhart continued to work on guide roller project for Satterwhite.
 
The guys have expressed they like the bracket that was made to hold weber guns on the table. Not sure who made it but I think it wouldn?t be a bad idea to make a bunch more and get a new table to attach them to. This will enable us to store and organize our guns in the shop better. Will also reduce likelihood of damaging connectors and components while sliding them around to work on them.",,,,"\nAccomplishments from weekend:
Pipefitters worked robot greasing on Underbody Mainline and Respot.
Carpenter repaired floor at K24 per R. Cottingim letter.
C50 Vertical Drive Lift 1 - We verified the prox switch flag for the carriage locks was welded in place correctly and the prox switches were adjusted to match.
Kolene Bldg K1 Overhead Door - A new door is being ordered per L. Petter.  W/O closed for repairing.
Pre Clamp Sta 40 Accumulating Conveyor - Replaced missing red button on shut off safety line.
Pipefitters, Millwrights, and Electricians worked PMs.
Tinsmith, Pipefitters, and Millwrights worked on Paint Booth tear out.
 
Monday:
At 38 we repaired and moved a digilube line out of the way temporarily for Lesco.
Continued robot greasing on Underbody Respot.
Painters are doing crosswalks.
Paint Booth work is ongoing.
D. Skaggs is backing up PLC programs.
Electricians are working sealer programming.
We ran the rolls and the elevator to get the turntable upstairs for Lesco.
MW's worked on PM's
PF's worked on PM's
Started moving robots back to home in UB main and UB respot
Had to replace Leoni on 8X-070-R05
Could not move framer gates due to power being off
EL's worked on projects
 \n",,"Starting at the crosover the robots on Underbody Respot can be set back to Home.  Stop at the accumulator.
Framer 1 station 20 rotate from #2 to #1 gate for CMM.  Advance gates to work position.
Put F. Gilliam and a partner on relocating controllers for doors 141 and 142.",
923,7/2/2019,AB,,0,Day 2 - July 2.pdf;;;;;,"Passed out #2 Safety Talk
Wrote 2 Near Misses.
 
A Crew
-Passed out #3 Safety Talk",\n,"DS-
Worked Toolchanger PM's in Bodysides
 
Continued to swap  Weber guns in LH 7G. One left to do in 50. Started pulling and swapping guns on 6Y180-2
 
Nights ? 7/2/19 ? A Crew ? Snyder
Jeff Lindzy ? Continued working on setter rebuilds.
 
Todd Dahl/Phil Dahl ? Rebuilt Weber guns that were pulled during the day. They have been tested.
 
Jay Wibbels ? Worked on rebuilding noses and start the GBSDs.
 
Jeff Fessel/Terry Lockhart ? Continued the Satterwhite guide roller project for the pallet farm. Project is complete and ready to be verified by Ken when he comes in tonight.",,,,"\nPicked up plastic dunnage boxes around the perimeter of SUV building.
Sent 2 Electricians to the Compressor Room to assist M. Larimore.
completed backing up PLC programs per PM sheets..
Continued robot greasing in Underbody.
MW worked on PM's
PF worked on PM's
EL worked on projects and PM's\nParts:",,Mark Howard had work orders to replace chuting. Did not have material. K. Satterwhite ordered it.,
924,7/2/2019,A,,0,;;;;;,No Issues,\n,"Nights ? 7/2/19 ? A Crew ? Snyder
Jeff Lindzy ? Continued working on setter rebuilds.
 
Todd Dahl/Phil Dahl ? Rebuilt Weber guns that were pulled during the day. They have been tested.
 
Jay Wibbels ? Worked on rebuilding noses and start the GBSDs.
 
Jeff Fessel/Terry Lockhart ? Continued the Satterwhite guide roller project for the pallet farm. Project is complete and ready to be verified by Ken when he comes in tonight.",,,,\n\n,,,
925,7/5/2019,CD,,0,;;;;;IMG_4089.mov;roller.jpg,No Issues,\n,"Nights - Sidorowicz - A-Crew - 7-5-19
 
 
Doug McGovern ? Worked on GBSD Rebuilds",,,,"\nMillwrights swapped drives on the elevator at AA39 verified in manual raise and lower without a unit.  
Replaced Reuland motor and gearbox on power roll bed #59 with Nord unit.  Verified in manual.  Have not cycle a unit as of yet.  
Replaced drive wheel on P558 turn table #47 in the mezz at CC38.  Have not cycled it due to it being filled with units already.
Electricians replaced all seven Jan Fans with Air Eye fans at skid load and underbody pullout and installed safety cables.  3 fans came from the cage at W28.  4 fans came from the boiler room.  Additional parts from the fans from the boiler room were placed in the W28 cage.  The old fans have been palletized and are sitting at W28, where should we put them?
Pipefitters looked at replacing the sealer package on robot 6X130-4 at W26 but had many questions.  We decided not to try it until we get more information as to how it should mount and the hoses ran.  Lots of brackets, no cables.  Some kind of drawing or maybe on site help from the rep would be nice.
Completed all of the last weeks delinquent PM?s except the PLC back up PM?s.  Read in shift letter The Don was working on PLC backups.         
Electricians doing project work for Hulak and Hester ran feed for the new paint mix room, relocated data drop in the paint mix room area, and tore out old fluorescent lighting adjacent to the new paint mix room.  All of this is tied to work Mike Singer is involved with.    \n",,,
926,7/6/2019,CD,,0,;;;;;,Near miss:    Employee with no PPE.    Supplied employee with a hard hat and sleeves.,\n,"Nights ? Sidorowicz - A-Crew - 7-6-19
 
TM?s worked on cleaning feeders along with doing rebuilds in the shop. McGovern working on adding lock nuts to all fish mouth tools along with designing a handle (In process of being completed, project for Satterwhite)
 
Completed work orders below
 
6Y Framing Respot
6Y-180-01 - Screw feeder empty / clean / inspect
6Y-180-02 - Screw feeder empty / clean / inspect
6Y-180-03 - Screw feeder empty / clean / inspect
6Y-180-04 - Screw feeder empty / clean / inspect
7G Roof Rail
7G-10-R03 - Stud feeder empty / clean
                                7G-10-L03 ? Stud feeder empty / clean
 
Days LaVigne 7-6-2019
 
Weber Programs: Programs in RHBS, LHBS and Framer 6X-060 has the weber programs broken up between Gun 1 and 2 and SWB, LWB.
 
Henrob Health Assessment is about 90% complete.  Underbody Main and Respot need to be completed waiting for lube team to complete Underbody.
 
Framer 1,2,3 Respot 2,3: Weber robot programs has been touched for Gun # 2 so the point before the and after the screw inserts are the same points.  Working on Gun # 1.
 
Weber Guns: in the shop all 4 gun have been rebuilt.  The gun on the test stand faults after putting in five screws. 
 
9A-040-01 Primary Gun: Need to be pulled and rebuilt.
 
125 PM?s has been completed.  Next week PM?s are Completed.  There are missing PM?s that will need to be reprinted.",,,"Hanna, Brown and Tutwiler took sexual harassment training.","\n
 Millwrights pulled and replaced encoder wheel and adjusted wheel tension on the back up encoder assembly for the west side CAL line.
Millwrights started working on replacing the Philadelphia gearbox for roller flight #19 in the mezz around CC36, when we spun the input shaft of the rebuilt Philadelphia gearbox from our general stores, it sounded bad.  There is some backlash in the gearing on the input shaft.  The rebuilt gearbox may be worse than the current one we are running with.  We opted not to replace it.  We have 4 gearboxes in the blue tent that need to be sent out for refurbishment.  One of the gear ratios is wrong for our shop.   
Replaced broken bolts and welded roll stand on roller flight #27, replaced eye bolt and hoist hook on dash station 270 load assist and on ladder station 260 load assist.  
Started notching out moon roof racks
Electricians removed electrical and associated logic and faults for PRS09 at R25.  Table free wheels.  Gearbox and motor has been removed.  Operation has been verified.  
Jackey working on PLC, Sealer, panel view backups.  PM?s from last week almost done.
Hulak and other electricians working on B42 light screen upgrades.  
  
Using prints from Joe Tutwiler, pipefitters mounted brackets and rerouted the sealer hose for the robot 6X-130-4 at W26. Because of the width of the cable tray, the robot program had to be updated to have a purge location outside of the tray. A tip-calibration stand also had to be moved, and the program was updated for that new location as well.
 
The movement of the sealer hose in the tray brings it uncomfortably close to an encoder cable near the base of the robot. A sheet metal shield could guide the hose away from the cable and protect the encoder. We need to follow up with the toolmakers about the design and fabrication of the shield. Need to follow up with toolmakers about protecting the encoder cable from the sealer hose on 6X-130-4.   
 
 
Light Screen Stand installs:
C01 and C06 are complete.    Sick scanner at C01 still needs to be reprogrammed to accommodate new light screen stand locations.
 
Laser Switch installs:   
8X-05  and LH 7K-30 hardware is installed.     Progress has stalled due to issues getting the analog input modules working.   Don't plan to take on anymore stations until the current two have been proved out.
 
Robot battery changes:
Framer 1, 2 ,3 ,4  are complete.    The ring of fire should be completed on Sunday.   Progress is being logged on a spred sheet and dates are being installed.
 
Millrights working PM's
 
 
 
 
 
 \nParts:",,Need to follow up with toolmakers about the design and fabrication of a shield to protect the encoder cable at 6X-130-4.,
927,7/6/2019,C,,0,;;;;;,No Issues,\n,,,,,\n\nParts:,Door Repairs:,,
928,7/6/2019,,,0,;;;;;,No Issues,\n,,,,,\n\nParts:,Door Repairs:,,
